Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1RFcbHT5HYnghUIkYkBmDJn1ZVvcFN7seZ4HFoIbO9nY/export?format=csv

---

                                                                                                                                                                                                ,BƯU CỤC,HÀNG HÓA CẤP PHÁT,SỐ LƯỢNG,ĐVT,HÀNG VỀ TẠI,Người cấp
3/6/2026,1215-Bưu Cục 11 Chu Mạnh Trinh-TP.Hưng Yên,Súng bắn,1,bộ,kho,Trang
3/6/2026,22078000-Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên ,Súng bắn,1,bộ,kho,Trang
3/6/2026,20790000 - Bưu Cục Xóm 2 Thụy Sơn-Thái Thụy-Thái Bình,Súng bắn,1,bộ,kho,Trang
4/6/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,bao tải xanh,10,cọc,kho ,Hân
4/6/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,dây thít,3,túi,kho,Hân
4/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,bao tải xanh,5,cọc,kho,Hân
4/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Súng bắn,1,bộ,kho,Hân
5/6/2026,22671000 - Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,Giấy in nhiệt,10,cuộn,kho,hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Bao tải xanh,5,cọc,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Dây thít,3,túi,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,cắt băng keo,1,cái,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Dao dọc giấy,2,cái,kho,Hân
5/6/2026,20679000 - Bưu cục Thôn Đông-Tiền Hải-Thái Bình,Bao tải xanh,5,cọc,kho,Hân
5/6/2026,20679000 - Bưu cục Thôn Đông-Tiền Hải-Thái Bình,Dao dọc giấy,2,cái,kho,Hân
4/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Bao tải xanh,5,cọc,kho,Hân
4/6/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,Bao tải xanh,10,cọc,kho,Hân
4/6/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,Dây thít,3,túi,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Bao tải xanh,5,cọc,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Dây thít,3,túi,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,cắt băng keo,1,cái,kho,Hân
5/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Dao dọc giấy,2,cái,kho,Hân
5/6/2026,22671000 - Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,Giấy in nhiệt,10,cuộn,kho,Hân
5/6/2026,20679000 - Bưu cục Thôn Đông-Tiền Hải-Thái Bình,Bao tải xanh,5,cọc,kho,Hân
5/6/2026,20679000 - Bưu cục Thôn Đông-Tiền Hải-Thái Bình,Dao dọc giấy,2,cái,kho,Hân
6/6/2026,20133000 - Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,Bao tải xanh,5,cọc,kho,Hân
6/6/2026,20133000 - Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,chổi lúa,1,cái,kho,Hân
6/6/2026,1215-Bưu Cục 11 Chu Mạnh Trinh-TP.Hưng Yên,Bao tải xanh,5,cọc,kho,Hân
6/6/2026,1215-Bưu Cục 11 Chu Mạnh Trinh-TP.Hưng Yên,Dây thít,3,túi,kho,Hân
7/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Dây thít,3,túi,kho,Hân
7/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Giấy in nhiệt trắng,20,cuộn,kho,Hân
7/6/2026,21493000-Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên ,Bao tải xanh,5,cọc,kho,Hân
7/6/2026,22523000 - Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,dây thít,3,túi,kho,Hân
7/6/2026,1215-Bưu Cục 11 Chu Mạnh Trinh-TP.Hưng Yên,súng bắn,1,bộ,kho,Trang
7/6/2026,20148000-Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,súng bắn,1,bộ,Kho,Trang
7/6/2026,20148000-Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,Máy in a4,1,cái,Kho,Trang
7/6/2026,21493000-Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên ,Dây thít\,3,túi,kho,Trang
8/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Bao tải xanh,10,cọc,kho,Hân
8/6/2026,21069000 - Bưu Cục Minh Khai-Vũ Thư-Thái Bình,Bao tải xanh,5,cọc,kho,Hân
8/6/2026,21069000 - Bưu Cục Minh Khai-Vũ Thư-Thái Bình,Dao dọc giấy,1,cái,kho,Hân
8/6/2026,21069000 - Bưu Cục Minh Khai-Vũ Thư-Thái Bình,Bút dạ,2,cái,kho,Hân
8/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Màng pe,2,cái,kho,Hân
8/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Bút dạ,3,cái,kho,Hân
9/6/2026,20623000 - Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,Dây thít,3,túi,kho,Hân
9/6/2026,20133000 - Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,Dây thít,3,túi,kho,Hân
10/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Bao tải xanh,5,cọc,kho,Hân
10/6/2026,21496000-Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,Bao tải xanh,5,cọc,kho,Hân
10/6/2026,1515 - Bưu Cục Đông Hưng-Thái Bình,Súng bắn,1,bộ,kho,Hân
10/6/2026,1515 - Bưu Cục Đông Hưng-Thái Bình,seal nhựa,1,túi,kho,Hân
10/6/2026,1515 - Bưu Cục Đông Hưng-Thái Bình,Giấy in nhiệt trắng,10,cuộn,kho,Hân
10/6/2026,20790000 - Bưu Cục Xóm 2 Thụy Sơn-Thái Thụy-Thái Bình,Bao tải xanh,5,cọc,kho,Hân
10/6/2026,21496000-Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,Bao tải xanh,5,cọc,kho,Hân
10/6/2026,1215-Bưu Cục 11 Chu Mạnh Trinh-TP.Hưng Yên,Bao tải xanh,5,cọc,kho,Hân
10/6/2026,20261000 - Bưu Cục Quốc Lộ 39B-Kiến Xương- Thái Bình,Bao tải xanh,5,cọc,kho,Hân
10/6/2026,1515 - Bưu Cục Đông Hưng-Thái Bình,Máy in A4,1,bộ,kho,Hân
11/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Giấy in nhiệt,10,cuộn,kho,Hân
11/6/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Bao tải xanh,5,cọc,kho,Hân
11/6/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,Bao tải xanh,10,cọc,kho,Hân
11/6/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,Dây thít,3,túi,kho,Hân
11/6/2026,22078000-Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên ,băng dính trong,12,cuộn,kho,Hân
11/6/2026,22078000-Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên ,Dây thít,3,túi,kho,Hân
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26/5/2026,,,,,,
26/5/2026,,,,,,

